 AADE Ed J; AADE editors' journal
 Faith Philos; Faith and philosophy  journal of the Society of Christian Philosophers
 Crime Law Soc Change; Crime law and social change
 Kokusaigaku revyu; Kokusaigaku revyu = Obirin review of international studies
 Nihon Univ Comp Law; Comparative law
 Magy Onkol; Magyar onkologia
 Bull Park Ridge Cent; Bulletin of the Park Ridge Center
 AIHA J Fairfax Va; AIHA journal  a journal for the science of occupational and environmental health and safety
 Malar J; Malaria journal
 J Biomed Biotechnol; Journal of biomedicine & biotechnology
 Field Crops Res; Field crops research
 Curr Urol Rep; Current urology reports
 Orthod Craniofac Res; Orthodontics & craniofacial research
 Int J Orthod Milwaukee; International journal of orthodontics Milwaukee Wis
 Chem Commun Camb; Chemical communications Cambridge England
 Biomarkers; Biomarkers  biochemical indicators of exposure response and susceptibility to chemicals
 Mymensingh Med J; Mymensingh medical journal  MMJ
 Int J Behav Med; International journal of behavioral medicine
 Semin Pediatr Infect Dis; Seminars in pediatric infectious diseases
 Ideggyogy Sz; Ideggyogyaszati szemle
 Arch Med Sadowej Kryminol; Archiwum medycyny sadowej i kryminologii
 Chem Soc Rev; Chemical Society reviews
 Obes Rev; Obesity reviews  an official journal of the International Association for the Study of Obesity
 Kulak Burun Bogaz Ihtis Derg; Kulak burun bogaz ihtisas dergisi  KBB = Journal of ear nose and throat
 Egypt J Immunol; The Egyptian journal of immunology
 Med Princ Pract; Medical principles and practice  international journal of the Kuwait University Health Science Centre
 Am J Pharmacogenomics; American journal of pharmacogenomics  genomics-related research in drug development and clinical practice
 Am J Transplant; American journal of transplantation  official journal of the American Society of Transplantation and the American Society of Transplant Surgeons
 J Contemp Dent Pract; The journal of contemporary dental practice
 Anadolu Kardiyol Derg; Anadolu kardiyoloji dergisi  AKD = the Anatolian journal of cardiology
 Cell Commun Adhes; Cell communication & adhesion
 Curr Womens Health Rep; Current women's health reports
 Expert Rev Anticancer Ther; Expert review of anticancer therapy
 Nat Rev Drug Discov; Nature reviews Drug discovery
 Curr Gene Ther; Current gene therapy
 Cancer Cell; Cancer cell
 Cancer Biol Ther; Cancer biology & therapy
 Endocr Dev; Endocrine development
 Microb Cell Fact; Microbial cell factories
 Rev Gastroenterol Disord; Reviews in gastroenterological disorders
 Cell Biol Educ; Cell biology education
 Issues Brief Alan Guttmacher Inst; Issues in brief Alan Guttmacher Institute
 J Biol; Journal of biology
 Between Species; Between the species  a journal of ethics
 FAS Public Interest Rep; FAS public interest report
 Parents Mag; Parents' magazine Bergenfield NJ
 Diakonia; Diakonia Mainz Germany  1972
 Rutgers Comput Technol Law J; Rutgers computer & technology law journal
 China J; China journal Canberra ACT
 Albany Law J Sci Technol; Albany law journal of science & technology
 Am Univ J Int Law Policy; The American University journal of international law and policy
 Holdsworth Law Rev; Holdsworth law review
 Bus Prof Ethics; Business & professional ethics
 Indiana Int Comp Law Rev; Indiana international & comparative law review
 Am Law Rep ALR 3rd Cases Annot; American law reports ALR 3d Cases and annotations
 Reseaux Ciephum; Reseaux - Ciephum
 Natl Fed Cathol Physicians Guild Newsl; National Federation of Catholic Physicians' Guilds newsletter
 Cent View; Center view  a publication of the Center for Applied and Professional Ethics University of Tennessee Knoxville
 Parade; Parade New York NY
 LOVTID K DAN A; Lovtidende A Almindelige love anordninger og bekendtgoerelser Denmark
 Soc Justice; Social justice San Francisco Calif
 J Environ Sci Health C Environ Carcinog Ecotoxicol Rev; Journal of environmental science and health Part C Environmental carcinogenesis & ecotoxicology reviews
 Rom J Gastroenterol; Romanian journal of gastroenterology
 Congenit Anom Kyoto; Congenital anomalies
 Midwest Med Ethics; Midwest medical ethics  a publication of the Midwest Bioethics Center
 Rev Interam Bibliogr; Revista interamericana de bibliografia = Review of inter-American bibliography
 S Afr Tydskr Strafr Kriminol; Suid-Afrikaanse tydskrif vir strafreg en kriminologie = South African journal of criminal law and criminology
 Univ Miami Entertain Sports Law Rev; University of Miami entertainment & sports law review
 Melita Theol; Melita theologica  the review of the Royal University Students' Theological Association Malta
 FPM Bull; Federal personnel manual system FPM bulletin United States Office of Personnel Management
 Respir Physiol Neurobiol; Respiratory physiology & neurobiology
 J Orthop Surg Hong Kong; Journal of orthopaedic surgery Hong Kong
 Ann Gen Hosp Psychiatry; Annals of general hospital psychiatry
 Biomed Eng Online; Biomedical engineering online
 Cardiovasc Diabetol; Cardiovascular diabetology
 Cell Chromosome; Cell & chromosome
 Environ Health; Environmental health  a global access science source
 Comp Hepatol; Comparative hepatology
 Filaria J; Filaria journal
 Int J Equity Health; International journal for equity in health
 Kinetoplastid Biol Dis; Kinetoplastid biology and disease
 Lipids Health Dis; Lipids in health and disease
 Mol Cancer; Molecular cancer
 Front Biosci; Frontiers in bioscience  a journal and virtual library
 Nutr Clin Care; Nutrition in clinical care  an official publication of Tufts University
 Annu Rev Plant Biol; Annual review of plant biology
 Int J Ment Health Nurs; International journal of mental health nursing
 MMWR Surveill Summ; Morbidity and mortality weekly report Surveillance summaries Washington DC  2002
 Find Brief; Findings brief  health care financing & organization
 Medi-Cal Policy Inst Issue Brief; Medi-Cal Policy Institute issue brief
 J Matern Fetal Neonatal Med; The journal of maternal-fetal & neonatal medicine  the official journal of the European Association of Perinatal Medicine the Federation of Asia and Oceania Perinatal Societies the International Society of Perinatal Obstetricians
 Aging Clin Exp Res; Aging clinical and experimental research
 J Enzyme Inhib Med Chem; Journal of enzyme inhibition and medicinal chemistry
 Pa Health You; Pennsylvania health & you
 Outcomes Manag; Outcomes management
; Aquatic insects
 G Ital Nefrol; Giornale italiano di nefrologia  organo ufficiale della Societa italiana di nefrologia
 J Obstet Gynaecol Can; Journal of obstetrics and gynaecology Canada  JOGC = Journal d'obstetrique et gynecologie du Canada  JOGC
 Healthcare Benchmarks Qual Improv; Healthcare benchmarks and quality improvement
 Vascul Pharmacol; Vascular pharmacology
 TEC Bull Online; TEC bulletin
 HIV Inside; HIV inside  a newsletter for correctional professionals
 Gend Technol Dev; Gender technology and development
 Vaccine Immun News; Vaccine & immunization news  the newsletter of the Global Programme for Vaccines and Immunization
 Womens Health Newsl; Womens Health Newsletter
 Search Medford N J; Searcher Medford NJ
 Salus; Salus
 HealthAction; HealthAction
 Anal Soc; Analise Social
 Forum Fam Plan West Hemisph; Forum
 SAfAIDS News; SAfAIDS news  Southern Africa AIDS Information Dissemination Service bulletin
 TB HIV; TB & HIV
 Entre Nous Cph Den; Entre nous Copenhagen Denmark
 Bridg Wash D C; Bridge Washington DC  1992
 Med Afr Noire; Medecine d'Afrique noire
 Pogon Sahoe Yongu; Pogon sahoe yon'gu
 Janasamkhya Siksha Mukhapatra; Janasamkhya siksha mukhapatra
 Bogeon sahoe nonjib; Pogon sahoe nonjip = Journal of population health and social welfare
 Womens Health J; Women's health journal
 Natl AIDS Bull; National AIDS bulletin
 Philipp J Obstet Gynecol; Philippine journal of obstetrics & gynecology  official publication Philippine Obstetrical and Gynecological Society
 Medizinrecht; Medizinrecht  MedR
 J Soc Work Hum Sex; Journal of social work & human sexuality
 Res Front Fertil Regul; Research frontiers in fertility regulation  RFFR
 Popul Newsl; Population newsletter
 World Smoking Health; World smoking & health
 Int Stat Rev; International statistical review = Revue internationale de statistique
 Argent Repub Laws Statut; Argentine Republic Laws statutes etc
 Stat News Pol; Statistical news Poland Glowny Urzad Statystyczny
 Qual Quant; Quality & quantity
 Taehan Uihak Hyophoe Chi; Taehan Uihak Hyophoe chi The Journal of the Korean Medical Association
 War Hung; War on hunger a report from the Agency for International Development
 Rev Fr Aff Soc; Revue francaise des affaires sociales
 Digest Public Gen Bills; Digest of public general bills and selected resolutions with index
 Stat Tidskr; Statistisk tidskrift Statistical review Sweden Statistiska centralbyran
 JNMA J Nepal Med Assoc; JNMA journal of the Nepal Medical Association
 Z Wiss Zool; Zeitschrift fur wissenschartliche Zoologie
 Int Rev; International review Steubenville Ohio
 Ingu munje nonjip; In'gu munje nonjip = Journal of population studies
 New community; New community
 Mon Bull Stat U N Stat Off; Monthly bulletin of statistics United Nations Statistical Office
 Pathways; Pathways Chestnut Hill Mass
 Taehan Pinyogikwa Hakhoe Chapchi; Taehan Pinyogikwa Hakhoe chapchi = The Korean journal of urology
 Int Health News; International health news
 Int Sociol; International sociology  journal of the International Sociological Association
 Rep Am Univ Field Staff; Reports - American Universities Field Staff American Universities Field Staff
 J Off Repub Fr Ed Lois Decrets; Journal Officiel De La Republique Francaise Edition Des Lois Et Decrets
 J Divorce Remarriage; Journal of divorce & remarriage
 J Prev Soc Med; Journal of preventive and social medicine  JOPSOM  a bi-annual journal of the National Institute of Preventive and Social Medicine
 Backgr Notes Ser; Department of State publication Background notes series
 Demogr Res; Demographic research
 Hist Soz Forsch; Historische Sozialforschung = Historical social research
 Mahidol Popul Q Gaz; Mahidol population gazette
 Familia; En familia Santo Domingo Dominican Republic
 Chron CEPED; La chronique du CEPED
 Correo Poblac Salud; Correo poblacional y de la salud
 Appl Demor; Applied demography
 Hommes Migr; Hommes & migrations
 Media Gend Monit; Media & gender monitor
 Bull Eugen Soc; Bulletin Eugenics Society London England
 Philipp Rev Econ Bus; The Philippine review of economics & business
 Sichuan Da Xue Xue Bao; Sichuan da xue xue bao = Sichuandaxue xuebao
 Polit Soc Madrid; Politica y sociedad Madrid Spain
 Scholast Update; Scholastic update Teachers' ed
 Poblac Desarro; Poblacion y desarrollo 1991
 Law File; Law file
 IPPF Eur Reg Inf; Planned Parenthood in Europe regional information bulletin = Planning familial en Europe bulletin d'information regional = Familienplanung in Europe regionale informationen
 Public Financ; Public finance = Finances publiques
 Health Reform Prior Serv; Health reform and priority services
 Jing Ji Lun Wen; Jing ji lun wen
 Rev Geogr Inst Panam Geogr Hist; Revista geografica del Instituto Panamericano de Geografia e Historia
 Kajok Kyehoek Nonjip; Kajok kyehoek nonjip Journal of family planning studies
 Urban Health Newsl; Urbanisation and health newsletter
 Ann IFORD; Les Annales de l'IFORD
 J Geog; The Journal of geography
 Conscience; Conscience Washington DC
 Vestn Statistiki; Vestnik statistiki Moscow Russia  1949
 Wirtsch Stat; Wirtschaft und Statistik
 Migr News; Migration news
 ICPD 94; ICPD 94  newsletter of the International Conference on Population and Development
 Popul Geogr; Population geography  a journal of the Association of Population Geographers of India
 NPG Forum Ser; NPG forum series
 Womens World; Women's world Kampala Uganda
 Acta Demogr; Acta demographica
 Indian Med Trib; Indian medical tribune
 People Count; People Count
 SidAlerte; SidAlerte
 Sex Planeam Fam; Sexualidade e planeamento familiar
 Rooilijn; Rooilijn Amsterdam
 Trop J Obstet Gynaecol; Tropical journal of obstetrics and gynaecology
 Child Worldw; Children worldwide
 J Soc Stud; The Journal of social studies
 Maghreb Machrek; Maghreb Machrek
 Poblacion; Poblacion Consejo Nacional de Poblacion Peru  1995
 Izv Vses Geogr Obshchestva; Izvestiia Vsesoiuznogo geograficheskogo obshchestva Geograficheskoe obshchestvo SSSR
 Terra Hels; Terra Helsinki Finland
 Bull Trimest Plan Fam; <Le > Bulletin trimestriel du planning familial
 Foro Mund Salud; Foro mundial de la salud
 GRMA News; GRMA news
 Soc Afr SIDA; Societes d'Afrique & SIDA  newsletter of the Societes d'Afrique & SIDA Network
 Intermediar; Intermediair
 Part J; Participant journal
 Middle East Rep; Middle East report New York NY
 IGCC News; IGCC news
 Vivre Autrement; Vivre autrement
 Vopr Geogr; Voprosy geografii
 Estud Soc; Estudios sociales Santo Domingo Dominican Republic
 Carta Inf; Carta informativa Asociacion Demografica Salvadorena
 Al Usrah Wa Al Umran Al Bashari; al-Usrah wa-al-'umran al-bashari
 Roshni; Roshni
 Dev Bull; Development bulletin Australian Development Studies Network
 Gt Concern; The great concern
 NBER Work Pap Ser; Working paper series National Bureau of Economic Research
 Rev Planeac Desarro; Revista de planeacion y desarrollo
 Dly Times; Daily times Lagos Nigeria
 Newswatch; Newswatch Ikeja Lagos State Nigeria
 Acta Geogr; Acta geographica
 Statistician; The Statistician  journal of the Institute of Statisticians
 Newsl Int Union Sci Study Popul; Newsletter International Union for the Scientific Study of Population
 Polit Int; Politica internazionale
 Hindu; Hindu Madras India  Daily
 Sante Salud; Sante Salud
 Curr Law Statut Annot GB; Current law statutes annotated Great Britain
 Cytogenet Genome Res; Cytogenetic and genome research
 Opt Express; Optics express
 Mem N Y Bot Gard; Memoirs of the New York Botanical Garden
 Curr Protein Pept Sci; Current protein & peptide science
 Journal; The Journal
 Curr Cancer Drug Targets; Current cancer drug targets
 J Food Process Eng; Journal of food process engineering
 Intern J Pattern Recognit Artif Intell; International journal of pattern recognition and artificial intelligence
